tag,hidden_units,dropout,learning_rate,batch_size,epochs,fold,accuracy,precision,recall,F1,auroc,prauc
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.001,32,100,1,0.8703170028818443,0.8711584194360462,0.8703170028818443,0.8705731758912697,0.9813002770045496,0.9508336770242735
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.001,32,100,2,0.8808837656099904,0.8827834246908808,0.8808837656099904,0.8814616174179664,0.9846772220062733,0.9571514772792372
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.001,32,100,3,0.8837656099903939,0.8847155942967233,0.8837656099903939,0.8839571041015593,0.9855214036660151,0.9610758529430911
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.001,32,100,4,0.8760806916426513,0.8771516522866973,0.8760806916426513,0.8763071420767955,0.9839747560678695,0.9570781326012509
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.001,32,100,5,0.8673714560307545,0.8684850185142498,0.8673714560307545,0.8675613791754525,0.9811777418172646,0.9482962183049198
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.001,64,100,1,0.8760806916426513,0.8800484597825522,0.8760806916426513,0.8772090101827372,0.9831047892994104,0.9550520244506572
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.001,64,100,2,0.8736791546589817,0.8737767359613519,0.8736791546589817,0.8736688920621689,0.9844619779807385,0.9575915672410854
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.001,64,100,3,0.8861671469740634,0.8886002322353728,0.8861671469740634,0.8868732682706626,0.9855918757003179,0.9605722657984319
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.001,64,100,4,0.882804995196926,0.8837846011687078,0.882804995196926,0.88316698191014,0.9858191650462033,0.9628708002433644
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.001,64,100,5,0.8668909178279673,0.8681744984615699,0.8668909178279673,0.8670522425987179,0.9812281111275667,0.9494040169998993
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.0001,32,100,1,0.8059558117195005,0.8059321719900917,0.8059558117195005,0.8052732794117837,0.9615142959509494,0.9016388232290186
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.0001,32,100,2,0.8270893371757925,0.8273880444231585,0.8270893371757925,0.8268302359138986,0.9669277657612904,0.9153982590526061
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.0001,32,100,3,0.8381364073006724,0.8373101541068447,0.8381364073006724,0.8370215791078603,0.9714525870903965,0.9232117189837152
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.0001,32,100,4,0.8366954851104706,0.8364274484689533,0.8366954851104706,0.8360380711474051,0.9696475197715627,0.9225688310290703
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.1,0.0001,32,100,5,0.8303700144161461,0.8336938653864757,0.8303700144161461,0.8311144189307897,0.9663940283138713,0.9100757428246968
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.0001,64,100,1,0.8121998078770413,0.8138050658557969,0.8121998078770413,0.8118447520907234,0.9617955486068517,0.9032201163104417
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.0001,64,100,2,0.8218059558117194,0.8244885751093478,0.8218059558117194,0.821797113483299,0.9653892980291533,0.9107266402821386
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.0001,64,100,3,0.8362151777137368,0.8371767746636345,0.8362151777137368,0.8353028720399656,0.9704205104870702,0.9201668329570196
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.0001,64,100,4,0.8261287223823247,0.8269214611708787,0.8261287223823247,0.8254706412942512,0.967829526934532,0.9168686405398991
"hidden_units=(64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.1,0.0001,64,100,5,0.822200864968765,0.8260986467817241,0.822200864968765,0.8227674912658745,0.9639267823432923,0.9061290860746005
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.001,32,100,1,0.8410182516810759,0.8440787441841475,0.8410182516810759,0.840842409116125,0.9718426411594914,0.9291608700971534
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.001,32,100,2,0.8506243996157541,0.8535261538294285,0.8506243996157541,0.85062305295829,0.9758085869984036,0.936653175235625
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.001,32,100,3,0.8592699327569645,0.8616301457621339,0.8592699327569645,0.8589630845683925,0.9769357317263208,0.9364129447731477
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.001,32,100,4,0.8501440922190202,0.8512582898656148,0.8501440922190202,0.8499792976228367,0.9750587587608688,0.9348380118683116
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.001,32,100,5,0.8433445458913984,0.846290832665583,0.8433445458913984,0.8437552072811028,0.97184001879387,0.9267119942280605
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.001,64,100,1,0.8463016330451489,0.8482499796483428,0.8463016330451489,0.8463103418458728,0.9739967139018122,0.9349031943023361
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.001,64,100,2,0.8611911623439001,0.8642039921595266,0.8611911623439001,0.8614596152500013,0.9776266253870377,0.9416910132029941
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.001,64,100,3,0.8640730067243035,0.8657585908814267,0.8640730067243035,0.8637713140479355,0.9803753358107372,0.9474382236135814
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.001,64,100,4,0.8583093179634966,0.8595330269883279,0.8583093179634966,0.8582160987072913,0.978900672246983,0.9453478927995671
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.001,64,100,5,0.8476693897164824,0.8507438767736923,0.8476693897164824,0.8479149210729883,0.9727782056599928,0.9261241786918224
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.0001,32,100,1,0.7459173871277618,0.7430669401690442,0.7459173871277618,0.7403828610388924,0.9356407855905648,0.8470590303763096
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.0001,32,100,2,0.7670509125840538,0.7659966404783533,0.7670509125840538,0.763578611103971,0.9459998633209649,0.867938982356658
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.0001,32,100,3,0.7790585975024016,0.7799942380914835,0.7790585975024016,0.7745303192697257,0.9526950449223758,0.8805860698225714
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.0001,32,100,4,0.7694524495677233,0.7679566776176985,0.7694524495677233,0.7643689139832898,0.9495920167296298,0.8716323822931286
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(64, 32)",0.3,0.0001,32,100,5,0.7784718885151369,0.7795976646370075,0.7784718885151369,0.7756641832302834,0.9445809851265253,0.8608486741986819
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.0001,64,100,1,0.7425552353506244,0.7412106711868063,0.7425552353506244,0.7356197065765616,0.931038468406065,0.8381181321896088
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.0001,64,100,2,0.7531219980787704,0.7519995308734373,0.7531219980787704,0.7465611022331085,0.940083876430836,0.8556446280200006
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.0001,64,100,3,0.765609990393852,0.7663289002198339,0.765609990393852,0.7565701683560536,0.9464408920774261,0.8658552393745091
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.0001,64,100,4,0.7651296829971181,0.7646589001038923,0.7651296829971181,0.7570475888394219,0.9433656364809708,0.858949214953974
"hidden_units=(64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(64, 32)",0.3,0.0001,64,100,5,0.7539644401729938,0.757605148058949,0.7539644401729938,0.7474387055298073,0.9399658792198461,0.8493353407764732
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.001,32,100,1,0.8895292987512008,0.8919189807422214,0.8895292987512008,0.8903263012149365,0.9877319012575225,0.966735932092497
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.001,32,100,2,0.8948126801152738,0.896889016529434,0.8948126801152738,0.8955280422920452,0.9886119924786002,0.9676546480461883
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.001,32,100,3,0.9058597502401537,0.9071398249052602,0.9058597502401537,0.9062897235641126,0.9898459953202768,0.9711679782815414
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.001,32,100,4,0.8938520653218059,0.8940771115612356,0.8938520653218059,0.893943456634404,0.9885366576248151,0.9681434427775459
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.001,32,100,5,0.8822681403171552,0.8830712492890173,0.8822681403171552,0.8824963162627237,0.9860023874955627,0.9612383393619455
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.001,64,100,1,0.8972142170989433,0.8997799376696196,0.8972142170989433,0.8979532683017378,0.989354675127229,0.9698113788849735
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.001,64,100,2,0.904418828049952,0.9049539029350677,0.904418828049952,0.9046202847892152,0.9898977460855569,0.9720001985937006
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.001,64,100,3,0.9116234390009607,0.9125710848058662,0.9116234390009607,0.9119888471528729,0.9906557742305823,0.9731376549515447
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.001,64,100,4,0.8981748318924111,0.8986495768487694,0.8981748318924111,0.898340515097778,0.9895794960815337,0.9710649182093044
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.001,64,100,5,0.8904372897645363,0.8909792577363177,0.8904372897645363,0.8904244605693853,0.9878717420036703,0.9656372776272956
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.0001,32,100,1,0.8520653218059558,0.8542006542618434,0.8520653218059558,0.8526799746630981,0.9791451422662729,0.9448482890160569
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.0001,32,100,2,0.8525456292026897,0.8542224981518654,0.8525456292026897,0.8526315690644872,0.9796880411957173,0.944625884239816
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.0001,32,100,3,0.8722382324687801,0.8728961817087059,0.8722382324687801,0.8724664191630376,0.9831568504777008,0.9520580569480522
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.0001,32,100,4,0.8631123919308358,0.8657105761259888,0.8631123919308358,0.8640042465934767,0.9822569943925435,0.9516627977196631
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.1,0.0001,32,100,5,0.8563190773666507,0.8593374939282281,0.8563190773666507,0.8571656108412753,0.97835108850103,0.9411076790510715
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.0001,64,100,1,0.8482228626320846,0.8505482283549879,0.8482228626320846,0.8485733120654658,0.9786794234030303,0.9437041889223309
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.0001,64,100,2,0.8559077809798271,0.8580027928818712,0.8559077809798271,0.8560890957892955,0.9798252650143157,0.9439711822753918
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.0001,64,100,3,0.8751200768491835,0.8770090970866535,0.8751200768491835,0.8756493132831484,0.9832408651038019,0.9521880681705183
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.0001,64,100,4,0.8587896253602305,0.8608446776477411,0.8587896253602305,0.859469798437815,0.981112174057653,0.9490114929706458
"hidden_units=(128, 64, 32) | dropout=0.1 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.1,0.0001,64,100,5,0.8500720807304181,0.8513325907501994,0.8500720807304181,0.8505163893841595,0.9774940739099126,0.9386520364895402
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.001,32,100,1,0.8587896253602305,0.8608146101043567,0.8587896253602305,0.8587633997646399,0.9810167051783438,0.9497347403366724
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.001,32,100,2,0.8640730067243035,0.8659807641317476,0.8640730067243035,0.8647185864329272,0.9830184987425551,0.9530678566375929
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.001,32,100,3,0.8703170028818443,0.874925221441524,0.8703170028818443,0.871542590832876,0.9833078825426778,0.9535739070582643
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.001,32,100,4,0.872718539865514,0.8748814056639528,0.872718539865514,0.8733378502287541,0.9843689769105836,0.9581494711923346
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.001,32,100,5,0.8625660740028832,0.8679837942053719,0.8625660740028832,0.8630898476364002,0.9803962609115666,0.9469616979028159
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,1,0.8722382324687801,0.8753435925377654,0.8722382324687801,0.8729610342844326,0.982914415853855,0.9538233586540106
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,2,0.866474543707973,0.869375163741158,0.866474543707973,0.8667882179086799,0.9839927312936174,0.9554411269780606
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,3,0.8852065321805955,0.8872700588442684,0.8852065321805955,0.8856520525171233,0.9854942610920415,0.9591516015331475
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,4,0.8621517771373679,0.8625175413676472,0.8621517771373679,0.8622848722999915,0.9832250342737272,0.9557140247599718
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.001,64,100,5,0.8611244593945219,0.8620591719938466,0.8611244593945219,0.8613040597386998,0.980941147906642,0.9478294179536775
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,1,0.7929875120076849,0.7936044845488134,0.7929875120076849,0.7911046974587848,0.9562398801636975,0.8912119349652309
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,2,0.8179634966378482,0.8222803000822763,0.8179634966378482,0.8175150574717126,0.9625213323465853,0.906487727905515
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,3,0.8208453410182517,0.8203599667387752,0.8208453410182517,0.8187873441279159,0.9680866393197962,0.915990268415807
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,4,0.8107588856868396,0.8109402995068018,0.8107588856868396,0.8093015421568402,0.9648883740708413,0.9102485442790853
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=32 | epochs=100","(128, 64, 32)",0.3,0.0001,32,100,5,0.8149927919269582,0.8179836629320996,0.8149927919269582,0.8147312079990369,0.9624320758787526,0.9027871137605744
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.0001,64,100,1,0.7901056676272814,0.7919575808543577,0.7901056676272814,0.7864181445106685,0.9519468889847269,0.8825790358027576
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.0001,64,100,2,0.7963496637848223,0.7975408277617074,0.7963496637848223,0.7924389266803267,0.9573450991595125,0.8931010514805394
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.0001,64,100,3,0.8141210374639769,0.8157822702330243,0.8141210374639769,0.810892954052972,0.964212799611412,0.9066394324434467
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.0001,64,100,4,0.8016330451488953,0.8040659950786286,0.8016330451488953,0.7960200740049063,0.9600056792520465,0.9007235073984347
"hidden_units=(128, 64, 32) | dropout=0.3 | learning_rate=0.0001 | batch_size=64 | epochs=100","(128, 64, 32)",0.3,0.0001,64,100,5,0.7991350312349832,0.8016584643232432,0.7991350312349832,0.7973769000478743,0.9562959193696035,0.8903137739404254
