tag,C,tol,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,1,0.5238095238095238,0.39360781062908723,0.5238095238095238,0.40385754301720683,0.8750872522038494,0.7363519834925739
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,2,0.5384615384615384,0.5124465811965812,0.5384615384615384,0.44144251614027435,0.8272944542939383,0.6901964470630364
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,3,0.5480769230769231,0.6329716479173002,0.5480769230769231,0.44112797996896597,0.9026611641807721,0.8109794354252391
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,4,0.5096153846153846,0.3610835401157982,0.5096153846153846,0.3838536463536463,0.8584283000949667,0.7403565422309357
C=0.1 | tol=0.1 | lambda_=0.1 | n_measurements=None,0.1,0.1,0.1,,5,0.5096153846153846,0.43090800951625696,0.5096153846153846,0.38776672045902816,0.9116022754105029,0.8079990559673541
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.8693639735986244,0.773207216218162
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.8567147821791785,0.7828151041266715
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.9039098815414603,0.8289261690325257
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.8854745324430568,0.8036294611401301
C=0.1 | tol=0.1 | lambda_=1 | n_measurements=None,0.1,0.1,1.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.7937083406946182,0.6604088601912058
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.6827400724560337,0.5412789901284983
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.6738071086884296,0.5112446525470073
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.718962664538,0.5346521728357769
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.738001037872039,0.5530337012285365
C=0.1 | tol=0.1 | lambda_=5 | n_measurements=None,0.1,0.1,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.6420888951243302,0.4748443106462941
C=0.1 | tol=5 | lambda_=0.1 | n_measurements=None,0.1,5.0,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=0.1 | tol=5 | lambda_=0.1 | n_measurements=None,0.1,5.0,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=0.1 | n_measurements=None,0.1,5.0,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=0.1 | n_measurements=None,0.1,5.0,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=0.1 | n_measurements=None,0.1,5.0,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5,0.3017751479289941
C=0.1 | tol=5 | lambda_=1 | n_measurements=None,0.1,5.0,1.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=0.1 | tol=5 | lambda_=1 | n_measurements=None,0.1,5.0,1.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=1 | n_measurements=None,0.1,5.0,1.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=1 | n_measurements=None,0.1,5.0,1.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=1 | n_measurements=None,0.1,5.0,1.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5,0.3017751479289941
C=0.1 | tol=5 | lambda_=5 | n_measurements=None,0.1,5.0,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=0.1 | tol=5 | lambda_=5 | n_measurements=None,0.1,5.0,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=5 | n_measurements=None,0.1,5.0,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=5 | n_measurements=None,0.1,5.0,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=0.1 | tol=5 | lambda_=5 | n_measurements=None,0.1,5.0,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5,0.3017751479289941
C=1 | tol=0.1 | lambda_=0.1 | n_measurements=None,1.0,0.1,0.1,,1,0.7523809523809524,0.7588235294117647,0.7523809523809524,0.7389264414575045,0.9345092540142145,0.8455211923339403
C=1 | tol=0.1 | lambda_=0.1 | n_measurements=None,1.0,0.1,0.1,,2,0.7115384615384616,0.7224893162393162,0.7115384615384616,0.6920084072286499,0.9075259321002355,0.804172314551056
C=1 | tol=0.1 | lambda_=0.1 | n_measurements=None,1.0,0.1,0.1,,3,0.7980769230769231,0.8134287096551248,0.7980769230769231,0.796832405183469,0.9579322237216974,0.9158164231579211
C=1 | tol=0.1 | lambda_=0.1 | n_measurements=None,1.0,0.1,0.1,,4,0.7211538461538461,0.7225045787545787,0.7211538461538461,0.7058331860234193,0.9176550707252462,0.8452695404045484
C=1 | tol=0.1 | lambda_=0.1 | n_measurements=None,1.0,0.1,0.1,,5,0.7115384615384616,0.6989945818070817,0.7115384615384616,0.6946983408748115,0.9466426836814013,0.8831821902201142
C=1 | tol=0.1 | lambda_=1 | n_measurements=None,1.0,0.1,1.0,,1,0.7047619047619048,0.7000358262427229,0.7047619047619048,0.6903222703222703,0.8932434979029246,0.8115540330888855
C=1 | tol=0.1 | lambda_=1 | n_measurements=None,1.0,0.1,1.0,,2,0.7692307692307693,0.7532337788916735,0.7692307692307693,0.7576311564065603,0.9033729003672243,0.8280394490814126
C=1 | tol=0.1 | lambda_=1 | n_measurements=None,1.0,0.1,1.0,,3,0.7788461538461539,0.7764469935522567,0.7788461538461539,0.7640013642108082,0.9553468785924927,0.9078636770168607
C=1 | tol=0.1 | lambda_=1 | n_measurements=None,1.0,0.1,1.0,,4,0.75,0.7651163491680733,0.75,0.7362179487179487,0.9236779627130504,0.8705578298342265
C=1 | tol=0.1 | lambda_=1 | n_measurements=None,1.0,0.1,1.0,,5,0.6634615384615384,0.6448862442202606,0.6634615384615384,0.6370771961118197,0.875069697353963,0.7886345130548188
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,1,0.5142857142857142,0.528395061728395,0.5142857142857142,0.4587868216877749,0.7062578946651502,0.5575081573250013
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,2,0.49038461538461536,0.466272378516624,0.49038461538461536,0.4568089238347859,0.6931321096439775,0.5307072259237493
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,3,0.5480769230769231,0.49513595924199644,0.5480769230769231,0.4803906888920961,0.7312299151179439,0.5438402404725863
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,4,0.6153846153846154,0.646733108440855,0.6153846153846154,0.5761935553966718,0.7645213881023996,0.5571440947512891
C=1 | tol=0.1 | lambda_=5 | n_measurements=None,1.0,0.1,5.0,,5,0.5096153846153846,0.5100332781253833,0.5096153846153846,0.48806835876673926,0.6541790046580316,0.48270331039743175
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=0.1 | n_measurements=None,1.0,5.0,0.1,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5,0.3017751479289941
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=1 | n_measurements=None,1.0,5.0,1.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5,0.3017751479289941
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,1,0.4380952380952381,0.19192743764172335,0.4380952380952381,0.26691895301166824,0.5,0.30158730158730157
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,2,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,3,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,4,0.4519230769230769,0.20423446745562132,0.4519230769230769,0.2813295975547631,0.5,0.3099112426035503
C=1 | tol=5 | lambda_=5 | n_measurements=None,1.0,5.0,5.0,,5,0.4423076923076923,0.19563609467455623,0.4423076923076923,0.27128205128205124,0.5,0.3017751479289941
