tag,C,class_weight,decision_function_shape,tol,fold,accuracy,precision,recall,F1,auroc,prauc
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,1,0.35782901056676275,0.4867764140495346,0.35782901056676275,0.33679565184601423,0.6808369272678522,0.4543676726007687
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,2,0.3659942363112392,0.5378476493739687,0.3659942363112392,0.3505966518902023,0.6909836283417725,0.4736532834533403
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,3,0.37079731027857826,0.5324595988120762,0.37079731027857826,0.3571154165887164,0.6683547043945002,0.4485944445583917
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,4,0.36983669548511044,0.5071537506070195,0.36983669548511044,0.34817836770689464,0.6809611846982957,0.46013460873734696
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,0.1,balanced,ovr,0.1,5,0.35752042287361846,0.49631476796663154,0.35752042287361846,0.3309284238314737,0.6698428518313988,0.4472015407987976
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,1,0.35110470701248797,0.5074430939209066,0.35110470701248797,0.32847516567959434,0.6832193039981557,0.45539693212498583
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,2,0.3659942363112392,0.5815266788087264,0.3659942363112392,0.3373326836505842,0.6933586461215715,0.4736196168408363
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,3,0.3366954851104707,0.48098075986328254,0.3366954851104707,0.32740152194071265,0.6715750526157133,0.44852867505532035
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,4,0.37079731027857826,0.5089277811039706,0.37079731027857826,0.3551978815287312,0.6906283713915663,0.4585282403740458
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=1,0.1,balanced,ovr,1.0,5,0.3623258049014897,0.5235883241403402,0.3623258049014897,0.3384367226075667,0.674950550954125,0.44893403354329714
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | decision_function_shape=ovr | tol=10,0.1,balanced,ovr,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,1,0.35782901056676275,0.4867764140495346,0.35782901056676275,0.33679565184601423,0.7244572151137619,0.45422584321275783
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,2,0.3659942363112392,0.5378476493739687,0.3659942363112392,0.3505966518902023,0.7326480230251122,0.47381011799928396
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,3,0.37079731027857826,0.5324595988120762,0.37079731027857826,0.3571154165887164,0.7163195425928153,0.4486456711760071
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,4,0.36983669548511044,0.5071537506070195,0.36983669548511044,0.34817836770689464,0.7280946034365074,0.4602705017630943
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,0.1,balanced,ovo,0.1,5,0.35752042287361846,0.49631476796663154,0.35752042287361846,0.3309284238314737,0.7184861197439179,0.44716797045616846
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,1,0.35110470701248797,0.5074430939209066,0.35110470701248797,0.32847516567959434,0.7278618322857435,0.45646105234619117
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,2,0.3659942363112392,0.5815266788087264,0.3659942363112392,0.3373326836505842,0.7361187705904824,0.47353927833967246
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,3,0.3366954851104707,0.48098075986328254,0.3366954851104707,0.32740152194071265,0.7205642140108963,0.4476046088786381
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,4,0.37079731027857826,0.5089277811039706,0.37079731027857826,0.3551978815287312,0.735287532779494,0.4578448940995397
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=1,0.1,balanced,ovo,1.0,5,0.3623258049014897,0.5235883241403402,0.3623258049014897,0.3384367226075667,0.7236711087836225,0.44876620148882174
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=balanced | decision_function_shape=ovo | tol=10,0.1,balanced,ovo,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,1,0.45244956772334294,0.2924609933269563,0.45244956772334294,0.3380512394153443,0.6863357320768296,0.46252414504108874
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,2,0.45004803073967337,0.2852688959032029,0.45004803073967337,0.33281699240622603,0.6842604372622062,0.42946429766820887
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,3,0.4452449567723343,0.27990523782551296,0.4452449567723343,0.3286434257131613,0.6765998544523745,0.4409038825644797
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,4,0.4510086455331412,0.2885751409665956,0.4510086455331412,0.33238851210028375,0.6881270414486187,0.44463196230886076
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=0.1,0.1,,ovr,0.1,5,0.4430562229697261,0.2811623866481406,0.4430562229697261,0.3281835232381815,0.6409174829149004,0.3879664339901734
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,1,0.45244956772334294,0.2924609933269563,0.45244956772334294,0.3380512394153443,0.7002204201994705,0.47684136108491426
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,2,0.45004803073967337,0.28511183327542394,0.45004803073967337,0.33283985190406373,0.6813777280532387,0.46288845892567526
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,3,0.44668587896253603,0.28078994681691677,0.44668587896253603,0.32960017440522177,0.6692321995414645,0.44784932148782336
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,4,0.4620557156580211,0.3004004613278687,0.4620557156580211,0.33941146794380056,0.6024250343433534,0.35449644009671344
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=1,0.1,,ovr,1.0,5,0.4435367611725132,0.2817216512728547,0.4435367611725132,0.32846799223228956,0.646923555840652,0.40905048473950995
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10,0.1,,ovr,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10,0.1,,ovr,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10,0.1,,ovr,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10,0.1,,ovr,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=None | decision_function_shape=ovr | tol=10,0.1,,ovr,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=0.1,0.1,,ovo,0.1,1,0.45244956772334294,0.2924609933269563,0.45244956772334294,0.3380512394153443,0.7229778280714428,0.46327457708598724
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=0.1,0.1,,ovo,0.1,2,0.45004803073967337,0.2852688959032029,0.45004803073967337,0.33281699240622603,0.718377915073851,0.4411427413312145
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=0.1,0.1,,ovo,0.1,3,0.4452449567723343,0.27990523782551296,0.4452449567723343,0.3286434257131613,0.7185084062395928,0.4419360915008915
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=0.1,0.1,,ovo,0.1,4,0.4510086455331412,0.2885751409665956,0.4510086455331412,0.33238851210028375,0.7376269418076259,0.4531210677321837
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=0.1,0.1,,ovo,0.1,5,0.4430562229697261,0.2811623866481406,0.4430562229697261,0.3281835232381815,0.6809321404040325,0.38286231605140175
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=1,0.1,,ovo,1.0,1,0.45244956772334294,0.2924609933269563,0.45244956772334294,0.3380512394153443,0.7326103953394775,0.48266090460250793
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=1,0.1,,ovo,1.0,2,0.45004803073967337,0.28511183327542394,0.45004803073967337,0.33283985190406373,0.7154897445488044,0.46003339035641505
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=1,0.1,,ovo,1.0,3,0.44668587896253603,0.28078994681691677,0.44668587896253603,0.32960017440522177,0.7133597764358683,0.44061161230234297
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=1,0.1,,ovo,1.0,4,0.4620557156580211,0.3004004613278687,0.4620557156580211,0.33941146794380056,0.6634145380232878,0.36487422787404616
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=1,0.1,,ovo,1.0,5,0.4435367611725132,0.2817216512728547,0.4435367611725132,0.32846799223228956,0.6989528224484292,0.41817907618537087
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=10,0.1,,ovo,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=10,0.1,,ovo,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=10,0.1,,ovo,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=10,0.1,,ovo,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=0.1 | class_weight=None | decision_function_shape=ovo | tol=10,0.1,,ovo,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,1.0,balanced,ovr,0.1,1,0.3573487031700288,0.4882323464710693,0.3573487031700288,0.33593320302824525,0.6806297669529493,0.4547343472426885
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,1.0,balanced,ovr,0.1,2,0.3655139289145053,0.5398058210845971,0.3655139289145053,0.3502177356765633,0.6922074231376582,0.47548872026916844
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,1.0,balanced,ovr,0.1,3,0.3645533141210375,0.5259228603594238,0.3645533141210375,0.35018924993728,0.6692863052232582,0.4496535888105753
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,1.0,balanced,ovr,0.1,4,0.3688760806916426,0.5075353516649831,0.3688760806916426,0.3454224696434869,0.6819846927828537,0.46057356468997357
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,1.0,balanced,ovr,0.1,5,0.3584814992791927,0.4962673201668464,0.3584814992791927,0.3318164324061238,0.670655614178141,0.4475690920615917
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1,1.0,balanced,ovr,1.0,1,0.35830931796349663,0.484975012612931,0.35830931796349663,0.3419473421128829,0.6811440456493123,0.46003155997082534
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1,1.0,balanced,ovr,1.0,2,0.3703170028818444,0.5425918692386994,0.3703170028818444,0.34875694337154256,0.6996288276086949,0.48674827655348407
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1,1.0,balanced,ovr,1.0,3,0.35110470701248797,0.49548239379659975,0.35110470701248797,0.33499030823500603,0.6718223728641567,0.44809414978888135
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1,1.0,balanced,ovr,1.0,4,0.36263208453410184,0.4965028666270282,0.36263208453410184,0.33160066021786466,0.6875194720364687,0.45888603505052084
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=1,1.0,balanced,ovr,1.0,5,0.3623258049014897,0.4900231288759391,0.3623258049014897,0.33613819800574896,0.6729688243950284,0.4485142237199744
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=10,1.0,balanced,ovr,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=10,1.0,balanced,ovr,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=10,1.0,balanced,ovr,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=10,1.0,balanced,ovr,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=1 | class_weight=balanced | decision_function_shape=ovr | tol=10,1.0,balanced,ovr,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,1.0,balanced,ovo,0.1,1,0.3573487031700288,0.4882323464710693,0.3573487031700288,0.33593320302824525,0.7243473178621997,0.45489854391629536
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,1.0,balanced,ovo,0.1,2,0.3655139289145053,0.5398058210845971,0.3655139289145053,0.3502177356765633,0.7337946115850149,0.4752068969855653
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,1.0,balanced,ovo,0.1,3,0.3645533141210375,0.5259228603594238,0.3645533141210375,0.35018924993728,0.7168858555654971,0.4495575290034388
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,1.0,balanced,ovo,0.1,4,0.3688760806916426,0.5075353516649831,0.3688760806916426,0.3454224696434869,0.7282735270953988,0.4605944742744894
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,1.0,balanced,ovo,0.1,5,0.3584814992791927,0.4962673201668464,0.3584814992791927,0.3318164324061238,0.7187366003814901,0.44743300423375015
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,1,0.35830931796349663,0.484975012612931,0.35830931796349663,0.3419473421128829,0.7251158106560125,0.4609782735142417
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,2,0.3703170028818444,0.5425918692386994,0.3703170028818444,0.34875694337154256,0.742544316355447,0.48792267505108133
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,3,0.35110470701248797,0.49548239379659975,0.35110470701248797,0.33499030823500603,0.7199281006516678,0.44805691880559134
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,4,0.36263208453410184,0.4965028666270282,0.36263208453410184,0.33160066021786466,0.7339693017313162,0.4589169370338706
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=1,1.0,balanced,ovo,1.0,5,0.3623258049014897,0.4900231288759391,0.3623258049014897,0.33613819800574896,0.7224399514363226,0.44780200579498114
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=10,1.0,balanced,ovo,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=10,1.0,balanced,ovo,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=1 | class_weight=balanced | decision_function_shape=ovo | tol=10,1.0,balanced,ovo,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
